name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s)
binarytrees,erlang,2,7,478,0.328,34720,0,28% 41% 11% 33%,1.024,1.151
binarytrees,erlang,2,14,478,0.287,36904,0,33% 72% 50% 32%,0.176,0.329
binarytrees,erlang,2,21,478,16.032,425140,0,78% 72% 79% 87%,5.122,16.174
binarytrees,gnat,1,7,888,0.007,504,0,40% 11% 21% 6%,0.185,0.143
binarytrees,gnat,1,14,888,0.112,5372,0,0% 15% 100% 18%,0.113,0.151
binarytrees,gnat,1,21,888,22.215,265568,0,100% 0% 1% 0%,22.221,22.431
binarytrees,go,3,7,799,0.004,0,0,0% 33% 75% 11%,0.081,0.097
binarytrees,go,3,14,799,0.196,868,0,71% 83% 71% 83%,0.070,0.217
binarytrees,go,3,21,799,50.349,373872,0,97% 99% 97% 98%,12.963,50.633
binarytrees,node,1,7,711,0.340,47292,0,7% 22% 5% 50%,1.524,1.280
binarytrees,node,1,14,711,0.713,87220,0,65% 42% 43% 41%,0.364,0.695
binarytrees,node,1,21,711,36.081,1058368,0,73% 74% 74% 76%,11.915,35.379
binarytrees,dartexe,1,7,482,0.011,0,0,0% 0% 56% 30%,0.091,0.078
binarytrees,dartexe,1,14,482,0.073,1580,0,33% 0% 83% 0%,0.067,0.078
binarytrees,dartexe,1,21,482,16.642,406864,0,16% 92% 10% 12%,13.003,16.941
binarytrees,fpascal,7,7,968,0.006,0,0,57% 0% 0% 0%,0.065,0.037
binarytrees,fpascal,7,14,968,0.031,0,0,50% 0% 50% 0%,0.015,0.015
binarytrees,fpascal,7,21,968,4.939,132476,0,100% 41% 57% 50%,2.036,5.026
binarytrees,dartjit,5,7,1016,0.746,131196,0,23% 9% 14% 52%,2.341,2.295
binarytrees,dartjit,5,14,1016,0.595,165896,0,63% 27% 30% 42%,0.412,0.667
binarytrees,dartjit,5,21,1016,35.061,549280,0,60% 64% 61% 62%,14.298,35.208
binarytrees,swift,9,7,1001,0.000,0,-11,%,0.000,0.000
binarytrees,swift,9,14,1001,0.000,0,-11,%,0.000,0.000
binarytrees,swift,9,21,1001,0.000,0,-11,%,0.000,0.000
binarytrees,java,4,7,840,0.186,34788,0,16% 8% 27% 6%,1.300,0.745
binarytrees,java,4,14,840,0.167,52588,0,54% 38% 31% 43%,0.130,0.216
binarytrees,java,4,21,840,5.445,2082992,0,7% 31% 70% 9%,4.754,5.590
binarytrees,chapel,3,7,488,0.031,8,0,40% 12% 5% 5%,0.408,0.253
binarytrees,chapel,3,14,488,0.142,508,0,83% 67% 43% 67%,0.068,0.177
binarytrees,chapel,3,21,488,24.098,298592,0,99% 73% 76% 56%,7.932,24.182
binarytrees,csharpcore,3,7,676,0.102,33296,0,61% 7% 12% 86%,0.583,0.969
binarytrees,csharpcore,3,14,676,0.187,25416,0,45% 27% 75% 25%,0.120,0.207
binarytrees,csharpcore,3,21,676,15.871,2053224,0,80% 77% 87% 78%,4.979,16.044
binarytrees,php,7,7,760,0.035,12000,0,4% 27% 2% 4%,0.466,0.175
binarytrees,php,7,14,760,0.223,94056,0,45% 45% 40% 91%,0.109,0.242
binarytrees,php,7,21,760,63.782,1589760,0,89% 89% 96% 84%,17.824,63.908
binarytrees,gcc,3,7,836,0.005,8,0,38% 15% 0% 8%,0.124,0.077
binarytrees,gcc,3,14,836,0.036,0,0,50% 100% 50% 0%,0.016,0.031
binarytrees,gcc,3,21,836,4.637,131624,0,62% 51% 100% 49%,1.794,4.712
binarytrees,sbcl,1,7,589,0.028,384,0,0% 11% 37% 24%,0.183,0.129
binarytrees,sbcl,1,14,589,0.078,1328,0,11% 29% 100% 13%,0.079,0.121
binarytrees,sbcl,1,21,589,11.446,355720,0,1% 100% 1% 1%,11.434,11.755
binarytrees,rust,1,7,751,0.003,0,0,0% 20% 33% 0%,0.056,0.030
binarytrees,rust,1,14,751,0.043,0,0,%,0.000,0.000
binarytrees,rust,1,21,751,7.771,132896,0,85% 89% 88% 94%,2.208,7.850
binarytrees,gcc,1,7,654,0.002,0,0,17% 56% 0% 38%,0.074,0.081
binarytrees,gcc,1,14,654,0.105,3856,0,100% 0% 0% 10%,0.106,0.117
binarytrees,gcc,1,21,654,22.295,263672,0,100% 1% 0% 0%,22.301,22.601
binarytrees,clang,2,7,809,0.026,1304,0,22% 4% 44% 63%,0.279,0.372
binarytrees,clang,2,14,809,0.039,0,0,100% 100% 0% 50%,0.014,0.035
binarytrees,clang,2,21,809,5.424,169624,0,80% 73% 79% 93%,1.686,5.475
binarytrees,lua,3,7,684,0.019,1516,0,18% 0% 0% 82%,0.216,0.216
binarytrees,lua,3,14,684,0.753,9740,0,49% 37% 51% 68%,0.386,0.789
binarytrees,lua,3,21,684,169.090,927592,0,50% 57% 38% 57%,84.574,170.808
binarytrees,ghc,3,7,538,0.010,8,0,0% 45% 27% 9%,0.108,0.088
binarytrees,ghc,3,14,538,0.076,1416,0,60% 60% 40% 60%,0.049,0.108
binarytrees,ghc,3,21,538,17.664,676480,0,44% 44% 76% 57%,8.065,17.792
binarytrees,ruby,1,7,376,0.307,285496,0,13% 58% 1% 3%,0.974,0.733
binarytrees,ruby,1,14,376,0.594,291300,0,0% 0% 0% 100%,0.596,0.596
binarytrees,ruby,1,21,376,72.700,676856,0,0% 0% 0% 100%,72.706,73.147
binarytrees,csharppgo,2,7,705,0.105,27056,0,4% 0% 40% 55%,0.569,0.561
binarytrees,csharppgo,2,14,705,0.190,35344,0,38% 73% 38% 29%,0.133,0.237
binarytrees,csharppgo,2,21,705,16.324,1638256,0,78% 80% 79% 91%,5.019,16.432
binarytrees,gpp,7,7,890,0.007,8,0,27% 0% 7% 44%,0.153,0.118
binarytrees,gpp,7,14,890,0.024,0,0,%,0.000,0.000
binarytrees,gpp,7,21,890,3.288,176440,0,85% 87% 83% 100%,0.939,3.334
binarytrees,swift,4,7,765,0.030,12040,0,9% 23% 2% 1%,0.816,0.292
binarytrees,swift,4,14,765,0.312,15360,0,56% 91% 70% 91%,0.105,0.323
binarytrees,swift,4,21,765,60.863,700416,0,78% 75% 100% 68%,19.072,61.245
binarytrees,go,2,7,666,0.003,0,0,80% 0% 57% 0%,0.066,0.090
binarytrees,go,2,14,666,0.196,1640,0,88% 86% 83% 88%,0.069,0.239
binarytrees,go,2,21,666,49.416,659828,0,100% 100% 100% 100%,12.484,49.707
binarytrees,gpp,4,7,1270,0.000,0,-11,%,0.000,0.000
binarytrees,gpp,4,14,1270,0.000,0,-11,%,0.000,0.000
binarytrees,gpp,4,21,1270,0.000,0,-11,%,0.000,0.000
binarytrees,php,6,7,868,0.036,12052,0,20% 4% 6% 2%,0.475,0.152
binarytrees,php,6,14,868,0.424,79356,0,77% 93% 77% 79%,0.138,0.450
binarytrees,php,6,21,868,90.778,797568,0,88% 75% 87% 76%,27.856,90.944
binarytrees,node,7,7,451,0.120,34952,0,4% 1% 4% 94%,1.408,1.456
binarytrees,node,7,14,451,0.146,36508,0,23% 0% 54% 54%,0.128,0.167
binarytrees,node,7,21,451,41.160,1081768,0,19% 25% 42% 31%,34.884,40.993
binarytrees,ocaml,5,7,461,0.003,0,0,0% 17% 0% 67%,0.066,0.055
binarytrees,ocaml,5,14,461,0.030,0,0,33% 0% 40% 100%,0.031,0.054
binarytrees,ocaml,5,21,461,9.836,166812,0,0% 0% 100% 0%,9.838,9.918
binarytrees,gnat,3,7,1266,0.015,608,0,6% 0% 50% 6%,0.182,0.113
binarytrees,gnat,3,14,1266,0.198,5936,0,50% 40% 50% 55%,0.117,0.227
binarytrees,gnat,3,21,1266,33.685,528008,0,69% 72% 74% 70%,11.771,33.365
binarytrees,ghc,2,7,491,0.009,8,0,9% 8% 42% 42%,0.110,0.111
binarytrees,ghc,2,14,491,0.063,1424,0,50% 40% 43% 17%,0.064,0.095
binarytrees,ghc,2,21,491,14.487,441348,0,41% 6% 35% 33%,11.894,13.685
binarytrees,perl,5,7,797,0.047,8704,0,8% 2% 1% 7%,1.533,0.270
binarytrees,perl,5,14,797,0.867,13356,0,0% 80% 0% 0%,1.075,0.864
binarytrees,perl,5,21,797,200.268,1048528,0,90% 90% 100% 90%,54.122,200.524
binarytrees,csharppgo,7,7,694,0.103,27296,0,60% 8% 0% 9%,0.482,0.372
binarytrees,csharppgo,7,14,694,0.182,37292,0,58% 33% 31% 50%,0.133,0.230
binarytrees,csharppgo,7,21,694,15.965,1694352,0,76% 79% 77% 88%,5.013,16.092
binarytrees,ghc,7,7,811,0.009,0,0,33% 22% 0% 10%,0.090,0.059
binarytrees,ghc,7,14,811,0.048,0,0,50% 75% 50% 50%,0.024,0.053
binarytrees,ghc,7,21,811,10.691,505952,0,55% 63% 64% 66%,4.388,10.862
binarytrees,gpp,6,7,844,0.020,316,0,42% 8% 8% 50%,0.115,0.125
binarytrees,gpp,6,14,844,0.027,0,0,0% 100% 0% 100%,0.013,0.026
